Column1,Column2,Column3,Column4
1668629520,Spam Filter,您好！我是垃圾訊息過濾器，能自動過濾聊天室中的垃圾訊息。僅限管理員可變更垃圾訊息過濾器的相關設定喔。,F
1668634860,群主David1688,誠徵 「醫師」台中市北屯區診所，誠徵耳鼻喉科、小兒科、家醫科醫師診費 + PPF + 牌費多人輪班 放假彈性節數可談意者請洽 0910178068 黃院長,T
1668634860,群主David1688,誠徵 醫師台中市南屯區診所誠徵兒科、家醫科、耳鼻喉科專科醫師一週6-8節(必定需要:週二、週五、週日夜診)薪資優，需掛牌專任薪水:牌照費(如有掛牌)+節數費+PPF休假:農曆春節固定休除夕到初四共5天多位醫師看診，兼顧家庭以及生活品質，出國排休方便。歡迎有興趣長期合作的醫師洽詢。歡迎親洽邢醫師0975-327365(可先簡訊，看診時不方便接手機),T
1668634860,群主David1688,? 誠徵 醫師 ?兼職或專任皆可。新北市汐止區家醫科診所，不限專科，皆歡迎洽談。上班時段：星期一到六：上午9點到12點，下午2:30到5:30。星期日：只有早上門診。一週9診。地點：靠近國道一汐止交流道，交通方便，備有醫師專用車庫。請洽 ：宋小姐零九貳八貳柒肆五零伍,T
1668634860,群主David1688,"誠徵：合作創業的醫師地點：中部地區為主，其他地區也可以內容：本人有門前藥局和醫療管理公司經驗的藥師尋找醫師開設家醫,內科診所(不分科也可以)及門前藥局或是已有門前藥局想更換合作管理公司的醫師聯絡方式：陳先生Line:g-a-l-a-1-6-2(去除-)",T
1668634860,群主David1688,誠徵 「醫師」彰化縣一般科診所（國道一號交流道8分鐘），誠徵醫師診費 + 牌費+PPF多人輪班 放假彈性意者請洽 林醫師零玖壹零捌六玖玖六貳,T
1668635820,社群副管理員,徵「 醫師 」桃園市蘆竹區診所，近南崁交流道三分鐘，交通便利.誠徵專任醫師一位外科，骨科 或 家醫科?科醫師。（需要熟悉外科治療作業）每週5-9節，星期日固定休診。請洽0913070603 或03-2129955 孫醫師e-mail : drsunwei@yahoo.com.tw,T
1668635820,社群副管理員, 《誠徵兼任醫師》台中市清水區家醫科內兒科診所誠徵兒科、內科、家醫科，長短期兼任醫師熟慢性病及腹部超音波為佳。請親洽0905-531258,T
1668635820,社群副管理員,誠徵醫師（內科、家醫科）地點：南投埔里鎮安杏診所（糖尿病、腎臟病健促機構）工作時間：4-6節，可排2-3天（可談，目前診所一天兩診，下午診到晚上7點，一週10-11節）工作輕鬆，但可以學習慢性病管理和照護。歡迎面談聯絡方式：??0937291400 蘇醫師 未接時請留訊息??Email:Cheng38@gmail.com,T
1668635820,社群副管理員,誠徵part time 醫師，兒科佳，需報備支援地點：新北市五股區新城六路180號時段：早診8:30-12:00 或晚診6:00-9:001-10人 450010-20人 500020-30人 550030人以上 6000PPF 30以上 一人100聯絡資訊：（02）22953202林醫師,T
1668635820,社群副管理員,誠徵 「專任醫師」新北市中和區耳鼻喉科診所（近南勢角捷運站）誠徵：家醫科、小兒科專任醫師診費 + PPF + 牌照費多人輪班 放假彈性一週6-10診，可談意者請洽 0933157256葉主任,T
1668635820,社群副管理員,   * 誠徵專任醫師 *科別 : 家醫科、耳鼻喉科、小兒科、內科、急診專科、新陳代謝科或腸胃科醫師一位。地址 : 桃園市八德區時間 : 每周 5-8 診，可議薪資 : 牌費+診費+PPF，優於一般行情，無診所經驗可，多人診所，排班、換班、休假均很方便意者請洽：0920735470 洪小姐,T
1668638160,社群副管理員,徵《內/外/家醫科》專科醫師，歡迎介紹：* 服務地點：1.台南市東區裕東診所2.台中市大里區元里診所3.台中市南屯區家康診所* 待遇優（開業生態無成本壓力），工作單純，休假極有彈性* 看診節數及薪資面議未來可共同擴展合作新診所請洽周醫師 0936-091625,T
